"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0045839"	"GO:0045839"	"negative regulation of mitotic nuclear division"	"10/189"	"41/11248"	1.00884377333011e-09	1.26651928710151e-07	1.14822350517177e-07	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/CHEK1/TRIP13/CCNB1/BMP4"	10
"GO:0007017"	"GO:0007017"	"microtubule-based process"	"29/189"	"477/11248"	1.50807810915545e-09	1.77792657068047e-07	1.61186418534275e-07	"CDC20/KIF23/CENPE/MYBL2/NDC80/ASPM/DLGAP5/SKA1/NUSAP1/TPX2/TACC3/NEK2/CDK1/MAD2L1/PAX6/KIF18A/KIF11/TTK/AURKB/CHEK1/PRC1/KIFC1/KIF18B/KIF20A/AURKA/CCNB1/KIF4A/MAPT/TRIM58"	29
"GO:0044772"	"GO:0044772"	"mitotic cell cycle phase transition"	"28/189"	"447/11248"	1.5342214018484e-09	1.77792657068047e-07	1.61186418534275e-07	"CDC45/MCM10/CDC20/FOXM1/CENPE/MELK/CCNB2/NDC80/E2F8/RRM2/DLGAP5/UBE2C/TPX2/TACC3/NEK2/UBE2S/CCNA2/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/TRIP13/DTL/AURKA/CCNB1/MCM5"	28
"GO:0051983"	"GO:0051983"	"regulation of chromosome segregation"	"12/189"	"70/11248"	1.62322410810886e-09	1.78706681182111e-07	1.6201507071727e-07	"CDC20/CENPE/NDC80/DLGAP5/TACC3/NEK2/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	12
"GO:0044770"	"GO:0044770"	"cell cycle phase transition"	"29/189"	"479/11248"	1.6607325167936e-09	1.78706681182111e-07	1.6201507071727e-07	"CDC45/MCM10/CDC20/FOXM1/CENPE/MELK/CCNB2/NDC80/E2F8/RRM2/DLGAP5/UBE2C/TPX2/TACC3/NEK2/UBE2S/CCNA2/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1/MCM5"	29
"GO:0033045"	"GO:0033045"	"regulation of sister chromatid segregation"	"11/189"	"57/11248"	2.12107617490546e-09	2.20372500516902e-07	1.99789207763327e-07	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:0051784"	"GO:0051784"	"negative regulation of nuclear division"	"10/189"	"46/11248"	3.41056655027196e-09	3.4253456719898e-07	3.10541059577394e-07	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/CHEK1/TRIP13/CCNB1/BMP4"	10
"GO:0007094"	"GO:0007094"	"mitotic spindle assembly checkpoint"	"8/189"	"27/11248"	9.2571830076341e-09	8.20349776529457e-07	7.43727241634999e-07	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0031577"	"GO:0031577"	"spindle checkpoint"	"8/189"	"27/11248"	9.2571830076341e-09	8.20349776529457e-07	7.43727241634999e-07	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0071173"	"GO:0071173"	"spindle assembly checkpoint"	"8/189"	"27/11248"	9.2571830076341e-09	8.20349776529457e-07	7.43727241634999e-07	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0071174"	"GO:0071174"	"mitotic spindle checkpoint"	"8/189"	"27/11248"	9.2571830076341e-09	8.20349776529457e-07	7.43727241634999e-07	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0045841"	"GO:0045841"	"negative regulation of mitotic metaphase/anaphase transition"	"8/189"	"29/11248"	1.73895728158462e-08	1.45541063594846e-06	1.31947197243043e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:2000816"	"GO:2000816"	"negative regulation of mitotic sister chromatid separation"	"8/189"	"29/11248"	1.73895728158462e-08	1.45541063594846e-06	1.31947197243043e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:1902100"	"GO:1902100"	"negative regulation of metaphase/anaphase transition of cell cycle"	"8/189"	"30/11248"	2.33743855803023e-08	1.85334273035397e-06	1.68023630417963e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:1905819"	"GO:1905819"	"negative regulation of chromosome separation"	"8/189"	"30/11248"	2.33743855803023e-08	1.85334273035397e-06	1.68023630417963e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0051225"	"GO:0051225"	"spindle assembly"	"11/189"	"73/11248"	3.23829583511187e-08	2.50179111569027e-06	2.2681181355237e-06	"CDC20/KIF23/MYBL2/ASPM/TPX2/NEK2/KIF11/AURKB/KIFC1/AURKA/KIF4A"	11
"GO:0033048"	"GO:0033048"	"negative regulation of mitotic sister chromatid segregation"	"8/189"	"32/11248"	4.08150521008005e-08	3.0743937994928e-06	2.7872384263573e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0033046"	"GO:0033046"	"negative regulation of sister chromatid segregation"	"8/189"	"34/11248"	6.84558025442383e-08	5.03066666014122e-06	4.56079095256222e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0051985"	"GO:0051985"	"negative regulation of chromosome segregation"	"8/189"	"35/11248"	8.7472357248187e-08	6.27510029497113e-06	5.68899165561517e-06	"CDC20/NDC80/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	8
"GO:0090307"	"GO:0090307"	"mitotic spindle assembly"	"8/189"	"45/11248"	6.93903582155506e-07	4.86216626287102e-05	4.40802887562677e-05	"CDC20/KIF23/MYBL2/TPX2/KIF11/AURKB/KIFC1/KIF4A"	8
"GO:0034501"	"GO:0034501"	"protein localization to kinetochore"	"5/189"	"12/11248"	9.14482071241482e-07	6.21449309494791e-05	5.63404530591641e-05	"NDC80/CDK1/CDT1/TTK/AURKB"	5
"GO:0000075"	"GO:0000075"	"cell cycle checkpoint"	"14/189"	"169/11248"	9.28151972361951e-07	6.21449309494791e-05	5.63404530591641e-05	"CDC45/CDC20/NDC80/E2F8/CDK1/MAD2L1/CDT1/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1"	14
"GO:0007080"	"GO:0007080"	"mitotic metaphase plate congression"	"7/189"	"35/11248"	1.52834207904739e-06	0.000100106406177604	9.07562401631118e-05	"CDCA8/CENPE/NDC80/KIF18A/CDT1/KIFC1/CCNB1"	7
"GO:0008608"	"GO:0008608"	"attachment of spindle microtubules to kinetochore"	"6/189"	"24/11248"	2.17515789512192e-06	0.00013944150506388	0.000126417351351431	"CENPE/NDC80/NEK2/CDT1/AURKB/CCNB1"	6
"GO:0031145"	"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	"9/189"	"70/11248"	2.37271450192299e-06	0.000148937266547791	0.000135026187116012	"CDC20/UBE2C/UBE2S/CDK1/MAD2L1/AURKB/AURKA/CCNB1/PTTG1"	9
"GO:0007346"	"GO:0007346"	"regulation of mitotic cell cycle"	"24/189"	"499/11248"	3.18095138284708e-06	0.000195596051357516	0.000177326935305869	"CDC20/CENPE/NDC80/E2F8/DLGAP5/UBE2C/NUSAP1/TPX2/TACC3/NEK2/CDK1/MAD2L1/CDT1/KIF11/EZH2/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1/BMP4/FOXA1"	24
"GO:0050000"	"GO:0050000"	"chromosome localization"	"8/189"	"56/11248"	3.90512670828507e-06	0.00022815210989	0.000206842183927384	"CDCA8/CENPE/NDC80/DLGAP5/KIF18A/CDT1/KIFC1/CCNB1"	8
"GO:0051303"	"GO:0051303"	"establishment of chromosome localization"	"8/189"	"56/11248"	3.90512670828507e-06	0.00022815210989	0.000206842183927384	"CDCA8/CENPE/NDC80/DLGAP5/KIF18A/CDT1/KIFC1/CCNB1"	8
"GO:0010948"	"GO:0010948"	"negative regulation of cell cycle process"	"17/189"	"276/11248"	3.93757375183537e-06	0.00022815210989	0.000206842183927384	"CDC20/NDC80/E2F8/RRM2/NEK2/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1/BMP4"	17
"GO:0030261"	"GO:0030261"	"chromosome condensation"	"6/189"	"27/11248"	4.58708772856888e-06	0.000260771609927888	0.000236414948473411	"TOP2A/NCAPH/NUSAP1/CDK1/NCAPG/CCNB1"	6
"GO:0071459"	"GO:0071459"	"protein localization to chromosome, centromeric region"	"5/189"	"16/11248"	4.77467560849242e-06	0.000266409214970142	0.000241525988382804	"NDC80/CDK1/CDT1/TTK/AURKB"	5
"GO:0045931"	"GO:0045931"	"positive regulation of mitotic cell cycle"	"11/189"	"120/11248"	5.32124841851312e-06	0.000291507663363273	0.000264280184613236	"NDC80/DLGAP5/UBE2C/NUSAP1/CDK1/MAD2L1/CDT1/DTL/AURKA/CCNB1/FOXA1"	11
"GO:0033044"	"GO:0033044"	"regulation of chromosome organization"	"16/189"	"253/11248"	5.47886571628046e-06	0.000294782542913447	0.000267249182965184	"CDC20/CENPE/NDC80/TOP2A/DLGAP5/TACC3/NEK2/MAD2L1/CDT1/TTK/AURKB/CHEK1/TRIP13/CCNB1/MAPT/GATA3"	16
"GO:1901988"	"GO:1901988"	"negative regulation of cell cycle phase transition"	"14/189"	"199/11248"	6.41574450253979e-06	0.000339134003265831	0.000307458116049691	"CDC20/NDC80/E2F8/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1"	14
"GO:1901987"	"GO:1901987"	"regulation of cell cycle phase transition"	"19/189"	"353/11248"	7.49979184515962e-06	0.000389601255680447	0.000353211612308334	"CDC20/CENPE/NDC80/E2F8/DLGAP5/UBE2C/TPX2/NEK2/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1"	19
"GO:0051310"	"GO:0051310"	"metaphase plate congression"	"7/189"	"45/11248"	8.94907569435356e-06	0.000457009577408259	0.000414323843476316	"CDCA8/CENPE/NDC80/KIF18A/CDT1/KIFC1/CCNB1"	7
"GO:0007093"	"GO:0007093"	"mitotic cell cycle checkpoint"	"11/189"	"128/11248"	9.92899574382877e-06	0.000498601069602602	0.000452030595705889	"CDC20/NDC80/E2F8/CDK1/MAD2L1/CDT1/TTK/AURKB/TRIP13/AURKA/CCNB1"	11
"GO:1901990"	"GO:1901990"	"regulation of mitotic cell cycle phase transition"	"18/189"	"329/11248"	1.05608515397523e-05	0.000521636814578257	0.000472914749709356	"CDC20/CENPE/NDC80/E2F8/DLGAP5/UBE2C/TPX2/NEK2/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/TRIP13/DTL/AURKA/CCNB1"	18
"GO:0006260"	"GO:0006260"	"DNA replication"	"14/189"	"214/11248"	1.47293188043859e-05	0.000715797379961527	0.000648940276695779	"CDC45/MCM10/E2F8/RRM2/CCNA2/CDK1/GINS1/CDT1/GINS2/CHAF1B/CHEK1/DTL/MCM5/DACH1"	14
"GO:0090068"	"GO:0090068"	"positive regulation of cell cycle process"	"14/189"	"219/11248"	1.91067911411673e-05	0.000913789868386304	0.000828439816396478	"KIF23/NDC80/E2F8/DLGAP5/UBE2C/NUSAP1/CDK1/MAD2L1/CDT1/EZH2/AURKB/DTL/AURKA/CCNB1"	14
"GO:0007100"	"GO:0007100"	"mitotic centrosome separation"	"4/189"	"11/11248"	2.32378990534853e-05	0.00107716599766387	0.000976556243624202	"NEK2/KIF11/CHEK1/AURKA"	4
"GO:0051299"	"GO:0051299"	"centrosome separation"	"4/189"	"11/11248"	2.32378990534853e-05	0.00107716599766387	0.000976556243624202	"NEK2/KIF11/CHEK1/AURKA"	4
"GO:0007143"	"GO:0007143"	"female meiotic nuclear division"	"5/189"	"22/11248"	2.65188560845724e-05	0.00119699502049568	0.00108519296318979	"TOP2A/NCAPH/TTK/TRIP13/AURKA"	5
"GO:0016572"	"GO:0016572"	"histone phosphorylation"	"6/189"	"36/11248"	2.66175460913411e-05	0.00119699502049568	0.00108519296318979	"CCNA2/CDK1/AURKB/CHEK1/AURKA/CCNB1"	6
"GO:0090231"	"GO:0090231"	"regulation of spindle checkpoint"	"4/189"	"12/11248"	3.43996075446072e-05	0.00148065739331288	0.00134236062523693	"NDC80/MAD2L1/CDT1/CCNB1"	4
"GO:0090266"	"GO:0090266"	"regulation of mitotic cell cycle spindle assembly checkpoint"	"4/189"	"12/11248"	3.43996075446072e-05	0.00148065739331288	0.00134236062523693	"NDC80/MAD2L1/CDT1/CCNB1"	4
"GO:1903504"	"GO:1903504"	"regulation of mitotic spindle checkpoint"	"4/189"	"12/11248"	3.43996075446072e-05	0.00148065739331288	0.00134236062523693	"NDC80/MAD2L1/CDT1/CCNB1"	4
"GO:0071103"	"GO:0071103"	"DNA conformation change"	"13/189"	"205/11248"	4.15050315756202e-05	0.00176133324137104	0.00159682071072994	"CDC45/TOP2A/NCAPH/HJURP/NUSAP1/CENPM/CENPN/CDK1/GINS1/NCAPG/GINS2/CHAF1B/CCNB1"	13
"GO:0045787"	"GO:0045787"	"positive regulation of cell cycle"	"16/189"	"300/11248"	4.53620099837268e-05	0.00189827411223568	0.00172097099280367	"KIF23/NDC80/E2F8/DLGAP5/UBE2C/NUSAP1/CDK1/MAD2L1/CDT1/EZH2/AURKB/CHEK1/DTL/AURKA/CCNB1/FOXA1"	16
"GO:0006323"	"GO:0006323"	"DNA packaging"	"10/189"	"128/11248"	5.76787508818057e-05	0.0023806311836559	0.00215827481670203	"TOP2A/NCAPH/HJURP/NUSAP1/CENPM/CENPN/CDK1/NCAPG/CHAF1B/CCNB1"	10
"GO:1901991"	"GO:1901991"	"negative regulation of mitotic cell cycle phase transition"	"12/189"	"186/11248"	6.97520027542268e-05	0.00284003762565521	0.00257477165216527	"CDC20/NDC80/E2F8/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/TRIP13/AURKA/CCNB1"	12
"GO:2001251"	"GO:2001251"	"negative regulation of chromosome organization"	"9/189"	"106/11248"	7.12824059580015e-05	0.00286365185535278	0.00259618025910195	"CDC20/NDC80/TOP2A/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	9
"GO:0045930"	"GO:0045930"	"negative regulation of mitotic cell cycle"	"14/189"	"252/11248"	8.89647774060039e-05	0.00352698518847749	0.00319755675025734	"CDC20/NDC80/E2F8/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/CHEK1/TRIP13/AURKA/CCNB1/BMP4"	14
"GO:1901989"	"GO:1901989"	"positive regulation of cell cycle phase transition"	"7/189"	"64/11248"	9.36146930151715e-05	0.00366313077993132	0.00332098603382597	"DLGAP5/UBE2C/CDK1/CDT1/EZH2/DTL/CCNB1"	7
"GO:0051383"	"GO:0051383"	"kinetochore organization"	"4/189"	"16/11248"	0.000119980286204716	0.00463462310685653	0.00420173876789795	"CENPE/NDC80/CENPN/CDT1"	4
"GO:1904666"	"GO:1904666"	"regulation of ubiquitin protein ligase activity"	"4/189"	"17/11248"	0.000154844311524037	0.00590564443825218	0.00535404381618754	"CDC20/UBE2C/UBE2S/MAD2L1"	4
"GO:0007292"	"GO:0007292"	"female gamete generation"	"8/189"	"93/11248"	0.00016492256243068	0.00613471210621778	0.00556171604298396	"TOP2A/NCAPH/ASPM/TTK/TRIP13/AURKA/CCNB1/PGR"	8
"GO:0140013"	"GO:0140013"	"meiotic nuclear division"	"8/189"	"93/11248"	0.00016492256243068	0.00613471210621778	0.00556171604298396	"CDC20/TOP2A/NCAPH/ASPM/KIF18A/TTK/TRIP13/AURKA"	8
"GO:0048247"	"GO:0048247"	"lymphocyte chemotaxis"	"5/189"	"32/11248"	0.000176944588242133	0.00650163468748226	0.00589436722064614	"S100A7/CXCL10/CXCL13/CXCL11/CXCL14"	5
"GO:0045786"	"GO:0045786"	"negative regulation of cell cycle"	"20/189"	"498/11248"	0.000266101135778839	0.00962411333081867	0.00872519925707005	"CDC45/CDC20/FOXM1/NDC80/E2F8/RRM2/NEK2/CDK1/MAD2L1/CDT1/EZH2/TTK/AURKB/CHEK1/TRIP13/DTL/AURKA/CCNB1/BMP4/GATA3"	20
"GO:1903046"	"GO:1903046"	"meiotic cell cycle process"	"8/189"	"100/11248"	0.000272726934782477	0.00962411333081867	0.00872519925707005	"CDC20/TOP2A/NCAPH/ASPM/KIF18A/TTK/TRIP13/AURKA"	8
"GO:0051653"	"GO:0051653"	"spindle localization"	"5/189"	"35/11248"	0.000273841502267934	0.00962411333081867	0.00872519925707005	"NDC80/ASPM/NUSAP1/MAD2L1/PAX6"	5
"GO:1901992"	"GO:1901992"	"positive regulation of mitotic cell cycle phase transition"	"6/189"	"54/11248"	0.000274700878343978	0.00962411333081867	0.00872519925707005	"DLGAP5/UBE2C/CDK1/CDT1/DTL/CCNB1"	6
"GO:0010818"	"GO:0010818"	"T cell chemotaxis"	"4/189"	"20/11248"	0.00030301839901691	0.0104941889222753	0.00951400780942385	"S100A7/CXCL10/CXCL13/CXCL11"	4
"GO:0044839"	"GO:0044839"	"cell cycle G2/M phase transition"	"12/189"	"222/11248"	0.000366247303066173	0.0125066218833967	0.0113384749549896	"FOXM1/MELK/CCNB2/TPX2/NEK2/CCNA2/CDK1/AURKB/CHEK1/DTL/AURKA/CCNB1"	12
"GO:1901623"	"GO:1901623"	"regulation of lymphocyte chemotaxis"	"4/189"	"21/11248"	0.000369428923870662	0.0125066218833967	0.0113384749549896	"S100A7/CXCL10/CXCL13/CXCL14"	4
"GO:0032886"	"GO:0032886"	"regulation of microtubule-based process"	"10/189"	"165/11248"	0.000464769439845739	0.0155594480250579	0.0141061601918093	"SKA1/TPX2/TACC3/NEK2/KIF18A/KIF11/CHEK1/AURKA/MAPT/TRIM58"	10
"GO:0019886"	"GO:0019886"	"antigen processing and presentation of exogenous peptide antigen via MHC class II"	"7/189"	"83/11248"	0.000478584548119694	0.0158458817965345	0.0143658403975779	"KIF23/CENPE/KIF18A/KIF11/LAG3/KIF4A/HLA-DQA1"	7
"GO:0051321"	"GO:0051321"	"meiotic cell cycle"	"9/189"	"137/11248"	0.000498058398071035	0.0162909669902132	0.0147693536218853	"CDC20/TOP2A/NCAPH/ASPM/NEK2/KIF18A/TTK/TRIP13/AURKA"	9
"GO:0007077"	"GO:0007077"	"mitotic nuclear envelope disassembly"	"3/189"	"10/11248"	0.000513654783959593	0.0162909669902132	0.0147693536218853	"CCNB2/CDK1/CCNB1"	3
"GO:0021978"	"GO:0021978"	"telencephalon regionalization"	"3/189"	"10/11248"	0.000513654783959593	0.0162909669902132	0.0147693536218853	"PAX6/EMX2/BMP4"	3
"GO:1904668"	"GO:1904668"	"positive regulation of ubiquitin protein ligase activity"	"3/189"	"10/11248"	0.000513654783959593	0.0162909669902132	0.0147693536218853	"CDC20/UBE2C/UBE2S"	3
